,l1-dir,l1indir,l2dir,l2indir
0,0.09887845516204831,3.274365640138382,0.09843807462490711,1.7491336896797134
1,0.03303226232528687,1.217057541617998,0.03281278018602447,1.0087934681496138
2,0.014835357666015625,1.1840964728547712,0.0070350982837973875,1.004899604407182
3,0.5340343796853516,3.5311607240477287,0.5312537406402635,1.7597756335969674
4,0.14288624525070182,2.523262762064034,0.14218840833442473,1.4532918407086328
5,0.01887639164924622,1.7361030406084512,0.01875015712973327,1.0700972357038994
6,0.1396839678287507,1.199961583161111,0.1390633058178302,1.0082929366303686
7,0.10642595291137692,5.2949868882191575,0.10625006226081253,2.127336276472308
8,0.018875408172607452,3.55109270570904,0.018750159515786683,1.7629079420891975
9,0.12561726570129395,4.211100299289441,0.12500080745341063,2.0079531744418535
