,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,9.0,4.196434357180185,4.01306675622335,1.0,0,0,0.94,1.0,17.523168703350166
1,8.0,3.306656340369829,3.0237140835921856,1.0,0,0,,,
2,8.0,3.282505046720661,3.0218301150972238,1.0,0,0,,,
3,5.0,0.3623451242912778,0.045143312116484084,0.15801755587259925,0,0,,,
4,5.0,0.32947841594364224,0.03617223766064092,0.1212583086072086,0,0,,,
5,8.0,3.854676939076627,3.2817527130450883,1.0,0,0,,,
6,8.0,3.265700632644856,3.0195590121204603,1.0,0,0,,,
7,6.0,1.466490353851658,1.0656721217975742,1.0,0,0,,,
8,7.0,2.2717652237528054,2.0221638928374377,1.0,0,0,,,
9,8.0,3.5020115818239077,3.0769669642591055,1.0,0,0,,,
10,7.0,2.33831878581337,2.038028656577465,1.0,0,0,,,
11,8.0,3.317796126576349,3.069876696009262,1.0,0,0,,,
12,5.0,0.2738887500731713,0.03453647174378193,0.17097692489624028,0,0,,,
13,8.0,3.3404305467427577,3.060695482522174,1.0,0,0,,,
14,8.0,3.2330841720496633,3.01658683480297,1.0,0,0,,,
15,8.0,3.266737273930255,3.018039472605379,1.0,0,0,,,
16,9.0,4.439919577752551,4.058060858439225,1.0,0,0,,,
17,7.0,2.228468463483484,2.017210159795419,1.0,0,0,,,
18,6.0,1.4858553460432153,1.1004956274128754,1.0,0,0,,,
19,8.0,3.2112338834781067,3.0119056354816243,1.0,0,0,,,
20,8.0,3.2834979042123402,3.0242788564647247,1.0,0,0,,,
21,6.0,1.6498646560736696,1.196058237825338,1.0,0,0,,,
22,8.0,3.3331819499876993,3.0441485499895973,1.0,0,0,,,
23,5.0,0.16612624244713792,0.013163493015547367,0.10429687500000004,0,0,,,
24,9.0,4.163168074902391,4.007710484999366,1.0,0,0,,,
25,8.0,3.3844243309936695,3.049387559931871,1.0,0,0,,,
26,8.0,3.40706826470684,3.0677995466490993,1.0,0,0,,,
27,6.0,1.2744062977843964,1.0215277838222248,1.0,0,0,,,
28,6.0,1.310598393367141,1.028618383300052,1.0,0,0,,,
29,8.0,3.6391221284739763,3.208809546799647,1.0,0,0,,,
30,7.0,2.320470579484163,2.0582648741102045,1.0,0,0,,,
31,9.0,4.3863042705086315,4.043602962342738,1.0,0,0,,,
32,5.0,0.48359467337447826,0.0681318410058899,0.20453625613329365,0,0,,,
33,7.0,2.253839088995738,2.0225300890318754,1.0,0,0,,,
34,5.0,0.7753650556302192,0.20480552492241444,0.3950872359963269,0,0,,,
35,9.0,4.379760808307106,4.053556497221047,1.0,0,0,,,
36,8.0,3.285668540717022,3.0228974997342895,1.0,0,0,,,
37,8.0,3.1551808721503516,3.0064320508476405,1.0,0,0,,,
38,8.0,3.2528979931355386,3.0188351332410357,1.0,0,0,,,
39,7.0,2.4963359445904545,2.1039608045431195,1.0,0,0,,,
40,6.0,1.2844069183221618,1.0318056581305282,1.0,0,0,,,
41,7.0,2.5909469143993045,2.1495846305109474,1.0,0,0,,,
42,8.0,3.2326480707386596,3.015690307458984,1.0,0,0,,,
43,9.0,4.244429262795002,4.024809595013628,1.0,0,0,,,
44,5.0,0.4489893402891692,0.06293975440644747,0.20461830192682698,0,0,,,
45,6.0,1.1934876216774906,1.0159202824727782,1.0,0,0,,,
46,8.0,3.2652418278295956,3.01806903566416,1.0,0,0,,,
47,8.0,3.1610732890490087,3.008047153624206,1.0,0,0,,,
48,6.0,1.1753471354464793,1.0093124292247801,1.0,0,0,,,
49,5.0,0.33509727725850824,0.038417124864073234,0.13444207818814213,0,0,,,
50,10.0,5.16476537033557,5.008186659049069,1.0,10,0,,,
51,6.0,1.2379367876723881,1.0179637559950416,1.0,0,0,,,
52,9.0,4.259547352029674,4.022906600729708,1.0,0,0,,,
53,8.0,3.2456266151830273,3.0166795717460646,1.0,0,0,,,
54,8.0,3.310824330570482,3.026892644880503,1.0,0,0,,,
55,7.0,2.2179780233497004,2.015576015566158,1.0,0,0,,,
56,7.0,2.3624353714080693,2.0773485520230888,1.0,0,0,,,
57,5.0,0.7108077783262493,0.2113027048910199,0.43067033976124885,0,0,,,
58,8.0,3.2680875689446927,3.017075410424231,1.0,0,0,,,
59,8.0,3.2337411833303182,3.0194780754898733,1.0,0,0,,,
60,6.0,1.6421178192894768,1.1459281652094513,1.0,0,0,,,
61,8.0,3.276879748074201,3.025862950962626,1.0,0,0,,,
62,6.0,1.1906881846822182,1.0141208113828923,1.0,0,0,,,
63,8.0,3.713412097309361,3.1968735156003927,1.0,0,0,,,
64,8.0,3.6229422365878903,3.1234298564267218,1.0,0,0,,,
65,9.0,4.564220545230037,4.162764809427371,1.0,0,0,,,
66,7.0,2.5578681963551784,2.212504398634904,1.0,0,0,,,
67,5.0,0.3064026512431887,0.048991777307553816,0.1957588620912898,0,0,,,
68,8.0,3.4238679936739884,3.087647431527426,1.0,0,0,,,
69,8.0,3.390664597172516,3.0827786494988567,1.0,0,0,,,
70,8.0,3.1872100522840783,3.0093730777308676,1.0,0,0,,,
71,8.0,3.1760181584161646,3.0108343845164938,1.0,0,0,,,
72,8.0,3.28278773509667,3.0278994066497833,1.0,0,0,,,
73,6.0,1.2595728981375953,1.0285696653721859,1.0,0,0,,,
74,7.0,2.355649262877283,2.0519095332964072,1.0,0,0,,,
75,9.0,4.390089935578702,4.045802572063969,1.0,0,0,,,
76,8.0,3.2722991651513995,3.023031070924674,1.0,0,0,,,
77,9.0,4.222190775996281,4.018810363307563,1.0,0,0,,,
78,5.0,0.13650690809848937,0.007165940021556654,0.07090474029740299,0,0,,,
79,6.0,1.527744364963242,1.0869897917332618,1.0,0,0,,,
80,5.0,0.267171501056667,0.030490023352130233,0.12593721127023505,0,0,,,
81,8.0,3.1911109340275914,3.012582682996824,1.0,0,0,,,
82,8.0,3.174903088389081,3.009032934050637,1.0,0,0,,,
83,5.0,0.22579357775357148,0.014903176407745989,0.09356889381356631,0,0,,,
84,8.0,3.1817412647507455,3.009889044683267,1.0,0,0,,,
85,5.0,0.14670333580951023,0.011101150174382778,0.09882812499999998,0,0,,,
86,8.0,3.241602310813002,3.0159916201926618,1.0,0,0,,,
87,5.0,0.41449931105207527,0.05738043439421827,0.170067556050359,0,0,,,
88,8.0,3.235936431296286,3.0199380280337125,1.0,0,0,,,
89,6.0,1.4642798326374868,1.1432070849150375,1.0,0,0,,,
90,9.0,4.575080084966945,4.131886664237248,1.0,0,0,,,
91,5.0,0.368473049955898,0.04427948318105815,0.15514022355176965,0,0,,,
92,5.0,0.327395220009109,0.02954848265677552,0.10546875000000004,0,0,,,
93,6.0,1.2963580029668185,1.0335498628744542,1.0,0,0,,,
94,6.0,1.1752689791405693,1.0135455934505913,1.0,0,0,,,
95,8.0,3.463820090686626,3.072195378655817,1.0,0,0,,,
96,8.0,3.1892667761134725,3.0094748610501476,1.0,0,0,,,
97,8.0,3.405910378571674,3.0502851089801126,1.0,0,0,,,
98,5.0,0.28741459128365504,0.035451457061220465,0.15685198667969386,0,0,,,
99,6.0,1.2172729536967726,1.019079042654283,1.0,0,0,,,
