,sum_per_row_f_rec,sum_per_row_cf,sum_per_row_f_orig
0,7.262980551344075,7.360977096182026,6.051978344993504
1,5.5153643733834565,5.54795711105817,6.372681447911546
2,4.432056405772902,4.426713147392012,5.500988382166933
3,5.119426838159652,5.653112990891597,7.987526203528151
4,4.24352429989734,4.491441465550755,7.335012212750767
5,5.863539535705357,5.882163144056111,5.874341145704945
6,6.2674320870882845,6.4058731192595335,6.090823820344104
7,4.172069912512342,4.304716026146451,7.1778617249125265
8,4.588755803973707,4.6073803958010995,5.2631880239971345
9,6.409252794638072,6.533635528936778,6.033044645676128
10,5.45329927826581,5.48744387651143,6.566196682572171
11,6.366137230641222,6.49363301420865,6.332225793694176
12,7.2520327278196,7.3515886434137006,6.478615393061329
13,5.503852188388513,5.579294099877192,5.43785762792785
14,6.213837825272195,6.319606815788859,6.946651148873793
15,7.2374176538153865,7.338526979701159,6.238238214215427
16,5.786176081797848,5.811007639071713,6.445367435173395
17,6.379044988792236,6.466400268714722,6.472378742978253
18,5.708870779978086,5.780626987921048,6.55149084512772
19,6.269066163121837,6.368900760232586,7.514233598212274
20,4.270629927993754,4.364348557484222,5.245786197021719
21,6.267502420569119,6.40594372096127,6.074770342264168
22,7.210493796084025,7.314717810366252,6.860911545511601
23,7.151204973459244,7.261643671989441,6.9045856402074355
24,5.1241225181458425,5.477142118086877,8.137609937804218
25,4.591854761238741,4.546554671373983,5.557812354045992
26,5.520316371770754,5.549804285617724,6.49749888350273
27,5.4237166357367,5.454756797584769,6.0233770142087995
28,5.275068982251703,5.271978016503869,7.041976773765555
29,4.357258745660521,4.380539783467985,5.329778332172616
30,5.061673462614509,5.729693949380617,5.086690751004566
31,7.601295988854465,7.694527249630965,6.179923259859841
32,6.602085810409833,5.685056220995237,5.647763643884763
33,7.140961282094499,7.266824291784431,7.835301672521785
34,5.378088416272799,5.688747781437591,7.413257921516654
35,7.123294026067812,7.275577259471971,7.420607804007027
36,7.435054654536182,7.514388013539249,6.234603670453736
37,6.19896635453995,6.343629938772279,6.118556719710531
38,5.899148662612863,5.9255324380855035,6.651139221178209
39,5.475806118690804,5.506846101724938,6.323949922216673
40,6.322668486670272,6.4548884866988825,6.5374244121493215
41,5.450112514698432,5.67755367908687,8.37038086575782
42,6.265458398485837,6.403899788284955,6.399908852358681
43,6.36393037601693,6.491481800520257,6.3318576591914875
44,5.5820933760028995,5.666328722320191,5.4494449633004685
45,7.154864803222643,7.277645936873384,7.883545446973787
46,6.536820377389047,6.608340550938699,8.434751687593142
47,5.592406230838331,5.623446720511946,6.429427773749001
48,5.653157229701134,5.681093074360939,6.57166276578262
49,5.257180301020874,5.577208235031305,4.255723702766938
50,6.186943233421404,6.333096629789431,7.306969945178874
51,6.490212108174417,6.518097735920999,4.568244453109568
52,5.449540147760501,5.765797701108764,5.403755048511631
53,4.99138826662547,4.98671114975459,5.650515486098538
54,5.717636491746118,5.744020326823405,6.585787138517251
55,6.185176857122003,6.331396146424829,6.078707510119713
56,7.5334300144584185,7.612940071557514,4.519792065771174
57,7.2302294230624415,7.332890609519122,7.415732869394
58,8.180276700078625,8.289054848968167,8.571678592888262
59,5.471979097960746,5.464831875203407,5.359665889911211
60,6.501040267617735,6.614592283637556,6.434569624708118
61,3.0386797803722017,3.055554832824289,5.689473858546594
62,5.739686031047611,5.770726967756062,6.714732149937376
63,6.334370686828274,5.656758090078014,7.239581082307977
64,6.710579503888953,6.8069760574053415,6.809456002346117
65,6.6905968519922805,4.7065668436762405,5.875534313680911
66,6.746202726478446,6.799239809627402,6.8311874486777615
67,5.643925010566448,5.614646234329599,7.622939624422242
68,5.124505902935372,5.479112887792863,8.287779752037737
69,6.252827168327489,6.3928234287320755,6.457676736497917
70,5.711501065182359,5.737884930061967,6.2721499881745375
71,5.844523836488593,5.8709076119612345,6.681727134742612
72,6.185882456906854,6.332101448186457,6.078154643364753
73,6.3655111508010185,6.4930645124553,5.293883109899143
74,7.2083814372755075,7.312554817411998,7.190832803693039
75,5.734522607636778,5.803158971381514,6.421323135460538
76,5.648835997875422,5.72683165579626,5.384267040668023
77,6.405498931260958,6.528384253831759,6.033772232959839
78,4.41917551257738,4.530162749597542,5.3873715649370375
79,5.232834453971868,5.554435208884519,8.203244097700225
80,7.152123883595619,8.26710869990761,6.967155963550531
81,4.099717131512195,4.507318997494048,6.960632691809387
82,6.160100393099327,6.309431807798882,6.138701194328412
83,5.354141869773604,5.648503651847578,6.240817764452988
84,5.430340910836819,5.628380260683068,5.448233629064521
85,5.570419321321461,5.599907205366108,6.373998976322836
86,5.20594657286029,5.53384443334026,8.185413659248029
87,5.658724184313866,5.686660058775994,6.384941543697923
88,4.037666680268355,4.527471971056158,6.843823152109853
89,6.51397300787168,6.625968961193137,6.413909337983882
90,4.703301236610512,4.65938102508453,7.666773779706032
91,5.366471426127708,5.4741056486351845,5.719271564712338
92,7.134301178259394,7.288136927885554,6.997917386553798
93,6.162232294882875,6.274175259675127,8.082592982743911
94,4.474994952742109,4.642851198313711,7.392566562413748
95,4.409010897515867,4.65063020240122,7.373491214908465
96,5.848434513154098,5.904406308474609,6.6058678513240014
97,7.2999391045472395,7.396378215779997,7.164122714163239
98,4.417471991009908,4.41205324334641,4.3413870931766985
99,6.508672806089872,6.530402817791456,5.607670008261424
